USERNAME, TIMESTAMP, ACTION, RESOURCE
fzalcala, 02/18/2017 02:39:00AM, print, system alert CA04892
xcherndon, 02/18/2017 05:43:15AM, enable, office visit OV00119
dsblythe, 02/18/2017 08:17:55AM, cancel, system alert CA03417
fzalcala, 02/18/2017 03:00:41PM, enable, office visit OV01897
quhundley, 02/18/2017 03:31:44PM, enable, office visit OV00119
dsblythe, 02/18/2017 08:30:50PM, import, notification NX3036
fzalcala, 02/18/2017 11:06:06PM, complete, ICD-9 Code 905
dsblythe, 02/19/2017 04:37:35PM, schedule, appointment A002321
quhundley, 02/19/2017 12:36:02PM, complete, ICD-10 Code 43
fzalcala, 02/20/2017 12:16:48AM, modify, patient specific instructions A1473
dsblythe, 02/20/2017 02:16:56AM, print, office visit OV00092
quhundley, 02/21/2017 05:55:44AM, import, office visit OV02939
xcherndon, 02/21/2017 07:56:15AM, update, ICD Code 26
quhundley, 02/21/2017 08:53:12PM, cancel, system alert CA03417
fzalcala, 02/21/2017 11:36:32PM, order, notification NX1379
quhundley, 02/22/2017 12:18:44AM, create, system alert CA01597
xcherndon, 02/22/2017 10:01:24PM, resolve, appointment A000609
dsblythe, 02/22/2017 10:16:09PM, create, message M4467
dsblythe, 02/23/2017 01:54:06AM, print, system alert CA04407
lqmadden, 02/23/2017 06:21:11AM, print, message M4671
fzalcala, 02/23/2017 03:52:15PM, create, office visit OV04060
xcherndon, 02/23/2017 06:42:59PM, resolve, appointment A001925
lqmadden, 02/23/2017 06:45:40PM, merge, office visit OV03122
lqmadden, 02/23/2017 09:16:41PM, cancel, ICD-10 Code 423
dsblythe, 02/23/2017 11:28:37PM, cancel, notification NX1842
qylarry, 02/24/2017 12:25:49PM, unmerge, system alert CA03572
fzalcala, 02/24/2017 12:39:16AM, sort, system alert CA04573
dsblythe, 02/24/2017 03:10:28PM, modify, notification NX2143
fzalcala, 02/24/2017 03:29:11PM, resolve, patient specific instructions A353
dsblythe, 02/24/2017 05:41:03PM, assign, office visit OV01345
dsblythe, 02/24/2017 06:25:46PM, resolve, message M5382
xcherndon, 02/25/2017 01:39:15AM, enable, office visit OV00119
dsblythe, 02/25/2017 07:15:38AM, create, system alert CA01597
fzalcala, 02/25/2017 07:34:42AM, resolve, ICD-9 Code 444
lqmadden, 02/25/2017 09:27:48AM, modify, HL7 Code 282
xcherndon, 02/25/2017 12:04:01AM, order, notification NX1379
quhundley, 02/25/2017 03:26:14PM, view, appointment A002502
lqmadden, 02/25/2017 05:54:15PM, delete, ICD-10 Code 117
xcherndon, 02/26/2017 06:42:47AM, create, system alert CA04840
fzalcala, 02/26/2017 01:21:28PM, complete, appointment A003583
quhundley, 02/26/2017 03:31:53PM, modify, message M1362
lqmadden, 02/26/2017 04:32:45PM, disable, appointment A000770
dsblythe, 02/26/2017 04:46:31PM, unmerge, system alert CA00345
quhundley, 02/26/2017 05:57:23PM, assign, message M5802
xcherndon, 02/27/2017 02:40:40AM, delete, notification NX4358
fzalcala, 02/27/2017 11:32:21AM, sort, system alert CA03230
lqmadden, 02/27/2017 11:46:49AM, unmerge, system alert CA00277
fzalcala, 02/27/2017 08:17:48PM, update, ICD Code 26
xcherndon, 03/01/2017 05:35:32AM, merge, message M1235
quhundley, 03/01/2017 10:44:51AM, modify, HL7 Code 282
lqmadden, 03/01/2017 12:16:23AM, create, office visit OV01243
quhundley, 03/01/2017 10:05:26PM, export, CPT Code 52
fzalcala, 03/02/2017 02:22:22AM, view, message M5089
dsblythe, 03/02/2017 02:57:38PM, merge, message M1235
qylarry, 03/02/2017 12:19:17PM, assign, ICD-9 Code 790
fzalcala, 03/03/2017 11:05:01AM, complete, message M3214
dsblythe, 03/03/2017 12:20:29PM, complete, message M3214
quhundley, 03/03/2017 12:23:45PM, delete, notification NX2338
quhundley, 03/03/2017 12:54:57PM, delete, ICD-9 Code 261
fzalcala, 03/04/2017 02:30:51AM, create, system alert CA01597
xcherndon, 03/04/2017 02:36:01AM, cancel, system alert CA03969
dsblythe, 03/04/2017 03:56:52AM, complete, system alert CA00164
qylarry, 03/04/2017 12:16:27AM, export, notification NX1171
dsblythe, 03/04/2017 12:59:50PM, delete, notification NX4358
xcherndon, 03/04/2017 01:48:23PM, update, notification NX0017
xcherndon, 03/04/2017 06:16:15PM, complete, appointment A000237
fzalcala, 03/05/2017 04:35:38AM, print, system alert CA00140
dsblythe, 03/05/2017 07:24:39AM, export, system alert CA04826
lqmadden, 03/05/2017 08:49:53AM, import, notification NX0848
fzalcala, 03/05/2017 11:52:34AM, create, office visit OV02431
qylarry, 03/05/2017 02:21:49PM, schedule, system alert CA01078
lqmadden, 03/05/2017 08:06:17PM, complete, office visit OV04294
quhundley, 03/06/2017 08:09:05AM, assign, ICD-9 Code 790
xcherndon, 03/06/2017 07:34:27PM, unmerge, notification NX1034
lqmadden, 03/08/2017 05:42:17AM, export, system alert CA03624
xcherndon, 03/08/2017 07:28:11AM, query, notification NX2872
lqmadden, 03/08/2017 10:27:06AM, unmerge, notification NX4544
lqmadden, 03/08/2017 12:39:18PM, update, ICD Code 26
fzalcala, 03/08/2017 03:14:15PM, disable, patient specific instructions A541
quhundley, 03/08/2017 04:52:03PM, assign, office visit OV01345
qylarry, 03/09/2017 12:35:04AM, print, notification NX1293
dsblythe, 03/09/2017 09:21:30AM, complete, system alert CA03406
xcherndon, 03/09/2017 12:16:29PM, order, message M4322
lqmadden, 03/09/2017 12:46:56AM, import, patient specific instructions A819
quhundley, 03/10/2017 03:09:14AM, print, notification NX1293
dsblythe, 03/10/2017 03:39:07AM, schedule, system alert CA01893
qylarry, 03/10/2017 07:40:03AM, complete, ICD-9 Code 905
dsblythe, 03/10/2017 06:09:11PM, print, office visit OV02789
dsblythe, 03/11/2017 02:04:52AM, delete, system alert CA04264
xcherndon, 03/11/2017 09:35:12AM, update, office visit OV02205
quhundley, 03/11/2017 09:51:53AM, complete, appointment A003583
fzalcala, 03/11/2017 09:52:55AM, modify, ICD-9 Code 309
fzalcala, 03/11/2017 11:56:56AM, export, system alert CA04826
qylarry, 03/11/2017 12:01:48AM, cancel, notification NX1118
xcherndon, 03/12/2017 01:51:28PM, print, office visit OV02789
qylarry, 03/12/2017 05:03:12PM, unmerge, office visit OV00787
lqmadden, 03/13/2017 10:28:00AM, assign, notification NX1212
qylarry, 03/13/2017 04:02:45PM, unmerge, appointment A003934
qylarry, 03/14/2017 01:55:42AM, delete, ICD-9 Code 261
xcherndon, 03/14/2017 05:18:07AM, query, notification NX2287
lqmadden, 03/14/2017 09:54:58AM, resolve, ICD-9 Code 194
xcherndon, 03/14/2017 12:15:54AM, merge, message M3062
lqmadden, 03/14/2017 11:15:52PM, assign, notification NX1212
qylarry, 03/15/2017 10:35:04AM, modify, patient specific instructions A1473
qylarry, 03/16/2017 04:44:52AM, merge, message M3062
qylarry, 03/16/2017 01:14:34PM, disable, patient specific instructions A541
dsblythe, 03/16/2017 02:12:02PM, create, office visit OV02431
xcherndon, 03/16/2017 04:09:07PM, resolve, ICD-10 Code 394
dsblythe, 03/17/2017 02:12:54AM, update, notification NX3502
dsblythe, 03/17/2017 01:47:31PM, create, office visit OV04060
quhundley, 03/18/2017 12:53:31AM, modify, notification NX2143
fzalcala, 03/18/2017 03:39:53PM, create, office visit OV02431
xcherndon, 03/18/2017 03:39:55PM, create, message M5460
dsblythe, 03/18/2017 11:23:59PM, schedule, system alert CA01463
quhundley, 03/19/2017 03:11:40PM, view, CPT Code 417
qylarry, 03/19/2017 06:29:21PM, export, appointment A004719
fzalcala, 03/19/2017 07:50:02PM, resolve, appointment A001925
fzalcala, 03/19/2017 10:42:40PM, sort, appointment A002378
quhundley, 03/20/2017 11:46:09AM, schedule, appointment A002321
lqmadden, 03/21/2017 01:09:36AM, cancel, system alert CA00814
fzalcala, 03/21/2017 04:19:22AM, unmerge, office visit OV00787
xcherndon, 03/21/2017 12:08:09PM, create, system alert CA04840
quhundley, 03/21/2017 12:33:10PM, sort, HL7 Code 399
lqmadden, 03/22/2017 07:19:41AM, create, office visit OV01854
qylarry, 03/22/2017 02:37:18PM, print, office visit OV02789
quhundley, 03/23/2017 09:00:33AM, complete, message M3214
fzalcala, 03/23/2017 09:44:44AM, modify, office visit OV00093
dsblythe, 03/23/2017 10:07:11AM, access, message M3978
quhundley, 03/23/2017 10:30:07PM, assign, office visit OV01345
lqmadden, 03/24/2017 02:49:56AM, modify, office visit OV00093
lqmadden, 03/24/2017 04:57:12PM, cancel, notification NX1842
quhundley, 03/24/2017 08:45:13PM, disable, patient specific instructions A541
qylarry, 03/25/2017 03:47:03PM, modify, HL7 Code 282
quhundley, 03/26/2017 02:38:01AM, disable, appointment A000770
xcherndon, 03/26/2017 03:59:12AM, export, office visit OV02309
lqmadden, 03/26/2017 04:07:39AM, create, system alert CA01597
xcherndon, 03/26/2017 11:29:31AM, cancel, office visit OV01843
dsblythe, 03/26/2017 01:53:39PM, resolve, patient specific instructions A353
qylarry, 03/26/2017 03:42:38PM, resolve, patient specific instructions A1468
quhundley, 03/27/2017 02:28:07AM, unmerge, system alert CA03572
quhundley, 03/27/2017 02:29:45PM, modify, patient specific instructions A1473
fzalcala, 03/27/2017 07:45:09PM, assign, system alert CA00191
fzalcala, 03/27/2017 09:39:41PM, disable, office visit OV03696
lqmadden, 04/01/2017 12:32:40PM, create, message M4467
quhundley, 04/02/2017 10:01:08AM, modify, ICD-9 Code 934
qylarry, 04/02/2017 12:28:17PM, update, ICD Code 26
dsblythe, 04/03/2017 02:43:22AM, import, system alert CA01287
qylarry, 04/03/2017 12:17:19AM, assign, system alert CA01700
qylarry, 04/03/2017 01:02:04PM, complete, ICD-9 Code 905
qylarry, 04/04/2017 11:12:08AM, complete, appointment A000237
lqmadden, 04/04/2017 12:36:22AM, unmerge, system alert CA03572
qylarry, 04/04/2017 08:28:04PM, disable, notification NX1054
quhundley, 04/05/2017 12:47:54AM, schedule, appointment A002321
quhundley, 04/05/2017 01:49:41AM, cancel, system alert CA05028
lqmadden, 04/05/2017 02:42:54AM, resolve, office visit OV04811
qylarry, 04/05/2017 07:39:21AM, schedule, system alert CA01078
xcherndon, 04/05/2017 01:33:06PM, view, appointment A002502
fzalcala, 04/05/2017 07:03:48PM, print, system alert CA04407
qylarry, 04/05/2017 10:26:19PM, unmerge, system alert CA00345
xcherndon, 04/06/2017 02:26:30AM, schedule, system alert CA01893
quhundley, 04/06/2017 06:23:00PM, assign, ICD-9 Code 790
quhundley, 04/06/2017 09:01:12PM, query, appointment A000459
fzalcala, 04/07/2017 01:38:05AM, print, message M4671
lqmadden, 04/07/2017 03:10:15AM, print, system alert CA04407
lqmadden, 04/07/2017 08:37:26AM, order, appointment A004704
lqmadden, 04/07/2017 11:43:45AM, query, message M5221
quhundley, 04/07/2017 07:28:42PM, create, message M3668
qylarry, 04/08/2017 03:23:34AM, query, office visit OV02124
fzalcala, 04/08/2017 09:45:19PM, create, system alert CA01597
qylarry, 04/09/2017 12:48:03PM, enable, office visit OV00119
fzalcala, 04/09/2017 03:21:35PM, modify, office visit OV03948
xcherndon, 04/09/2017 04:55:06PM, unmerge, LOINC code 273
xcherndon, 04/09/2017 09:32:50PM, unmerge, notification NX1624
lqmadden, 04/09/2017 12:22:05PM, create, system alert CA03482
dsblythe, 04/10/2017 01:35:18AM, create, message M3668
qylarry, 04/10/2017 09:00:10AM, cancel, office visit OV01843
quhundley, 04/10/2017 12:44:14PM, print, HL7 Code 167
fzalcala, 04/11/2017 08:01:22AM, complete, ICD-9 Code 905
quhundley, 04/11/2017 09:53:56AM, update, CPT Code 89
qylarry, 04/11/2017 12:41:02PM, print, system alert CA04407
quhundley, 04/12/2017 02:01:56AM, complete, message M4329
fzalcala, 04/12/2017 08:09:37PM, merge, appointment A004326
qylarry, 04/12/2017 09:10:49PM, complete, office visit OV04294
dsblythe, 04/13/2017 03:05:10AM, sort, patient specific instructions A493
xcherndon, 04/13/2017 09:28:52AM, delete, notification NX4358
lqmadden, 04/13/2017 10:41:52AM, assign, ICD-9 Code 790
xcherndon, 04/13/2017 12:50:59AM, resolve, ICD-10 Code 394
xcherndon, 04/13/2017 03:02:13PM, import, office visit OV01979
lqmadden, 04/13/2017 06:51:52PM, resolve, notification NX4608
dsblythe, 04/14/2017 07:41:51AM, unmerge, appointment A002347
qylarry, 04/14/2017 12:22:11AM, cancel, notification NX1842
qylarry, 04/15/2017 12:59:02AM, unmerge, system alert CA02196
qylarry, 04/15/2017 06:21:54AM, update, notification NX3622
qylarry, 04/15/2017 07:43:03AM, update, CPT Code 89
xcherndon, 04/15/2017 09:45:07AM, update, notification NX0017
quhundley, 04/15/2017 01:20:11PM, cancel, office visit OV00234
qylarry, 04/15/2017 04:17:28PM, complete, system alert CA00981
dsblythe, 04/16/2017 10:26:56AM, create, office visit OV01854
qylarry, 04/16/2017 11:02:58AM, delete, notification NX0881
xcherndon, 04/16/2017 03:15:39PM, schedule, appointment A004513
xcherndon, 04/17/2017 03:07:29AM, create, message M3668
dsblythe, 04/17/2017 12:33:43PM, disable, system alert CA04820
lqmadden, 04/17/2017 06:59:40PM, create, system alert CA01597
qylarry, 04/18/2017 03:30:23AM, import, office visit OV01979
qylarry, 04/18/2017 07:41:21AM, assign, system alert CA04099
fzalcala, 04/19/2017 03:15:04AM, cancel, notification NX0301
dsblythe, 04/19/2017 12:23:47PM, resolve, office visit OV04976
xcherndon, 04/19/2017 01:04:56PM, unmerge, LOINC code 273
xcherndon, 04/19/2017 03:01:27PM, query, system alert CA02891
fzalcala, 04/19/2017 03:25:55PM, modify, HL7 Code 282
dsblythe, 04/19/2017 10:14:20PM, unmerge, system alert CA02196
qylarry, 04/19/2017 11:58:05PM, complete, message M3214
xcherndon, 04/20/2017 04:33:48PM, update, notification NX3502
qylarry, 04/20/2017 09:58:38PM, disable, message M2096
xcherndon, 04/21/2017 12:08:42AM, merge, system alert CA00306
qylarry, 04/21/2017 10:53:00AM, create, message M4467
xcherndon, 04/21/2017 01:19:04PM, sort, office visit OV02680
xcherndon, 04/21/2017 04:22:59PM, merge, office visit OV01334
lqmadden, 04/21/2017 09:59:35PM, print, office visit OV02789
lqmadden, 04/22/2017 12:04:15AM, modify, notification NX2312
lqmadden, 04/22/2017 06:04:13AM, disable, notification NX1054
xcherndon, 04/22/2017 01:33:11PM, resolve, ICD-9 Code 194
lqmadden, 04/22/2017 02:30:43PM, enable, office visit OV00119
dsblythe, 04/22/2017 02:36:02PM, create, system alert CA01597
dsblythe, 04/22/2017 04:38:21PM, unmerge, notification NX1034
xcherndon, 04/22/2017 06:16:49PM, sort, system alert CA04760
lqmadden, 04/23/2017 02:40:43AM, merge, message M3062
fzalcala, 04/23/2017 11:13:41AM, print, message M4671
qylarry, 04/23/2017 01:46:33PM, update, notification NX3099
dsblythe, 04/24/2017 02:10:05AM, complete, LOINC code 51
quhundley, 04/24/2017 02:06:27PM, schedule, appointment A002321
dsblythe, 04/24/2017 05:18:34PM, sort, appointment A005008
lqmadden, 04/24/2017 07:23:36PM, resolve, appointment A000609
dsblythe, 04/24/2017 07:56:57PM, view, notification NX2816
xcherndon, 04/24/2017 09:29:45PM, modify, office visit OV03948
qylarry, 04/25/2017 12:56:19AM, disable, office visit OV03696
lqmadden, 04/25/2017 01:39:47AM, complete, appointment A003583
quhundley, 04/25/2017 12:11:24AM, cancel, system alert CA03969
xcherndon, 04/25/2017 09:40:01PM, enable, office visit OV04718
quhundley, 04/25/2017 09:51:36PM, modify, notification NX3875
dsblythe, 04/25/2017 10:16:08PM, modify, HL7 Code 282
xcherndon, 04/26/2017 10:30:40AM, cancel, notification NX1118
fzalcala, 04/26/2017 12:40:26PM, resolve, ICD-10 Code 394
lqmadden, 04/26/2017 07:16:31PM, export, appointment A004719
fzalcala, 04/27/2017 08:07:03AM, print, ICD-9 Code 397
xcherndon, 04/27/2017 10:20:02AM, enable, patient specific instructions A995
fzalcala, 04/27/2017 04:10:32PM, update, notification NX3158
qylarry, 05/01/2017 01:57:00AM, cancel, notification NX2705
lqmadden, 05/01/2017 03:49:49PM, view, appointment A002502
dsblythe, 05/01/2017 09:10:24PM, create, system alert CA02888
fzalcala, 05/01/2017 12:27:53PM, complete, message M3214
quhundley, 05/02/2017 02:45:38AM, export, office visit OV02309
fzalcala, 05/02/2017 03:26:33PM, query, office visit OV02124
quhundley, 05/02/2017 08:15:19PM, sort, system alert CA04760
lqmadden, 05/02/2017 11:13:46PM, print, office visit OV00092
dsblythe, 05/03/2017 09:40:29AM, create, system alert CA04840
lqmadden, 05/03/2017 04:14:42PM, print, office visit OV00092
qylarry, 05/04/2017 02:36:12AM, print, system alert CA04407
dsblythe, 05/04/2017 09:35:51AM, delete, notification NX2338
fzalcala, 05/04/2017 02:10:00PM, export, office visit OV02309
dsblythe, 05/04/2017 03:50:30PM, export, office visit OV02027
qylarry, 05/04/2017 03:53:58PM, export, system alert CA04826
fzalcala, 05/05/2017 03:54:21AM, sort, appointment A003855
xcherndon, 05/05/2017 06:13:23AM, disable, notification NX1054
dsblythe, 05/05/2017 11:55:29AM, print, system alert CA04892
lqmadden, 05/05/2017 06:43:46PM, access, appointment A002536
fzalcala, 05/05/2017 09:57:03PM, update, notification NX3622
lqmadden, 05/06/2017 10:26:21AM, sort, office visit OV01190
xcherndon, 05/06/2017 11:14:11AM, sort, appointment A005008
qylarry, 05/06/2017 11:52:32AM, import, system alert CA01287
quhundley, 05/06/2017 01:33:28PM, unmerge, office visit OV00787
lqmadden, 05/06/2017 06:47:09PM, enable, appointment A000676
quhundley, 05/07/2017 02:28:34AM, update, ICD Code 26
xcherndon, 05/07/2017 10:38:14AM, unmerge, system alert CA02196
quhundley, 05/07/2017 12:57:21AM, export, appointment A004719
lqmadden, 05/07/2017 02:53:34PM, update, notification NX3622
lqmadden, 05/07/2017 06:31:28PM, update, office visit OV02205
xcherndon, 05/07/2017 11:55:43PM, complete, ICD-9 Code 905
dsblythe, 05/08/2017 12:18:03AM, update, patient specific instructions A905
lqmadden, 05/08/2017 06:16:19PM, unmerge, notification NX1034
dsblythe, 05/08/2017 06:50:40PM, create, system alert CA01597
qylarry, 05/08/2017 11:09:55PM, export, CPT Code 52
fzalcala, 05/09/2017 12:13:14AM, export, office visit OV03450
qylarry, 05/09/2017 01:21:29AM, enable, office visit OV01897
lqmadden, 05/09/2017 06:43:03AM, import, office visit OV01979
lqmadden, 05/09/2017 12:37:50PM, schedule, appointment A002321
qylarry, 05/09/2017 02:50:43PM, access, message M4525
fzalcala, 05/09/2017 12:11:49PM, complete, message M2049
dsblythe, 05/10/2017 03:39:33AM, enable, message M4311
quhundley, 05/10/2017 01:50:43PM, order, message M1819
fzalcala, 05/10/2017 07:26:09PM, query, message M5221
xcherndon, 05/11/2017 12:54:21PM, resolve, notification NX2885
quhundley, 05/12/2017 02:32:52AM, disable, appointment A000770
qylarry, 05/12/2017 03:13:47AM, enable, appointment A004128
dsblythe, 05/12/2017 01:48:49PM, resolve, appointment A002547
lqmadden, 05/12/2017 09:40:08PM, print, office visit OV02789
quhundley, 05/13/2017 11:56:31AM, unmerge, appointment A004466
lqmadden, 05/13/2017 12:18:46PM, cancel, system alert CA02174
fzalcala, 05/13/2017 03:02:28PM, unmerge, system alert CA02196
dsblythe, 05/13/2017 05:46:06PM, order, message M2443
qylarry, 05/14/2017 12:59:27AM, print, message M5397
xcherndon, 05/14/2017 01:12:14AM, merge, message M1235
quhundley, 05/14/2017 05:46:29PM, modify, HL7 Code 282
lqmadden, 05/14/2017 05:59:38PM, unmerge, appointment A002347
xcherndon, 05/14/2017 07:32:11PM, cancel, notification NX1842
xcherndon, 05/14/2017 12:03:05PM, unmerge, ICD-9 Code 253
fzalcala, 05/15/2017 11:25:13AM, delete, message M4206
dsblythe, 05/15/2017 12:15:00AM, update, message M4025
qylarry, 05/15/2017 01:51:10PM, update, ICD Code 26
qylarry, 05/15/2017 02:58:01PM, delete, notification NX2338
xcherndon, 05/15/2017 05:55:28PM, delete, system alert CA02037
quhundley, 05/16/2017 12:38:09AM, unmerge, notification NX1034
qylarry, 05/16/2017 12:39:41PM, disable, patient specific instructions A541
dsblythe, 05/17/2017 05:31:32AM, resolve, patient specific instructions A861
qylarry, 05/17/2017 07:41:46AM, order, message M1819
qylarry, 05/17/2017 12:55:12PM, cancel, notification NX2705
fzalcala, 05/18/2017 02:23:33AM, export, office visit OV03450
dsblythe, 05/18/2017 06:55:15AM, schedule, notification NX0054
lqmadden, 05/19/2017 12:13:49AM, modify, appointment A003833
xcherndon, 05/19/2017 03:28:41PM, update, ICD Code 26
quhundley, 05/20/2017 01:27:12AM, create, message M5460
qylarry, 05/20/2017 09:33:28AM, resolve, appointment A000609
fzalcala, 05/20/2017 12:28:49PM, import, ICD-9 Code 741
lqmadden, 05/20/2017 05:03:23PM, view, appointment A002502
quhundley, 05/20/2017 05:38:58PM, delete, system alert CA02948
xcherndon, 05/21/2017 03:55:30PM, enable, message M2842
xcherndon, 05/21/2017 04:40:55PM, import, notification NX0848
quhundley, 05/22/2017 05:13:11PM, schedule, system alert CA01893
dsblythe, 05/22/2017 06:20:25PM, modify, notification NX2392
lqmadden, 05/22/2017 07:55:49PM, unmerge, notification NX1034
xcherndon, 05/23/2017 07:48:18AM, assign, appointment A004734
dsblythe, 05/23/2017 09:18:10AM, delete, notification NX4358
lqmadden, 05/23/2017 10:05:44AM, import, office visit OV01979
quhundley, 05/23/2017 12:38:00PM, resolve, office visit OV04479
fzalcala, 05/23/2017 02:46:43PM, modify, HL7 Code 282
lqmadden, 05/23/2017 05:03:20PM, print, office visit OV00092
fzalcala, 05/24/2017 01:19:32AM, unmerge, office visit OV00787
fzalcala, 05/24/2017 07:24:08AM, create, office visit OV01243
quhundley, 05/25/2017 04:06:34AM, import, office visit OV01979
quhundley, 05/26/2017 12:32:29AM, print, notification NX1293
qylarry, 05/26/2017 12:10:44PM, order, notification NX1379
lqmadden, 05/27/2017 08:09:58AM, update, notification NX0017
xcherndon, 06/01/2017 01:15:20AM, delete, ICD-9 Code 261
quhundley, 06/01/2017 05:41:47AM, assign, system alert CA00233
quhundley, 06/01/2017 08:01:29AM, sort, appointment A005008
dsblythe, 06/01/2017 08:34:50AM, access, system alert CA03014
dsblythe, 06/01/2017 03:28:43PM, enable, system alert CA04762
dsblythe, 06/01/2017 08:39:42PM, create, message M4467
fzalcala, 06/01/2017 10:34:45PM, resolve, notification NX4608
fzalcala, 06/02/2017 01:03:50AM, modify, HL7 Code 282
quhundley, 06/02/2017 05:07:24AM, schedule, appointment A002321
fzalcala, 06/02/2017 07:46:25AM, cancel, office visit OV01170
xcherndon, 06/02/2017 09:52:19AM, import, system alert CA01287
qylarry, 06/02/2017 10:12:10AM, disable, office visit OV00880
qylarry, 06/02/2017 10:46:35AM, unmerge, system alert CA03572
xcherndon, 06/02/2017 11:28:43AM, order, system alert CA01478
lqmadden, 06/02/2017 03:37:33PM, query, HL7 Code 288
lqmadden, 06/02/2017 07:19:12PM, order, message M5123
xcherndon, 06/03/2017 09:14:47AM, delete, notification NX4358
quhundley, 06/03/2017 10:02:36AM, order, notification NX1379
dsblythe, 06/03/2017 08:30:30PM, schedule, message M3066
xcherndon, 06/03/2017 10:05:02PM, enable, system alert CA04762
xcherndon, 06/04/2017 01:12:32AM, query, HL7 Code 288
lqmadden, 06/04/2017 02:21:16AM, unmerge, system alert CA03572
xcherndon, 06/04/2017 04:31:05AM, query, notification NX2287
lqmadden, 06/04/2017 06:31:09AM, cancel, office visit OV01843
xcherndon, 06/04/2017 06:31:36AM, update, notification NX0017
qylarry, 06/05/2017 12:36:55AM, cancel, ICD-10 Code 423
xcherndon, 06/05/2017 02:15:02AM, complete, ICD-9 Code 905
lqmadden, 06/06/2017 04:18:02AM, order, system alert CA04806
xcherndon, 06/06/2017 07:04:13PM, create, office visit OV02431
quhundley, 06/07/2017 09:33:45AM, unmerge, notification NX1034
dsblythe, 06/07/2017 10:23:52AM, update, notification NX3622
lqmadden, 06/07/2017 04:33:29PM, modify, notification NX2392
fzalcala, 06/07/2017 06:01:01PM, update, notification NX3622
quhundley, 06/07/2017 10:47:57PM, export, office visit OV02309
quhundley, 06/08/2017 12:25:59AM, view, appointment A002502
xcherndon, 06/08/2017 06:13:48AM, sort, appointment A004431
xcherndon, 06/08/2017 09:53:26AM, unmerge, notification NX1624
xcherndon, 06/08/2017 12:32:15PM, order, system alert CA04806
fzalcala, 06/08/2017 10:45:20PM, query, HL7 Code 288
lqmadden, 06/08/2017 10:57:28PM, query, office visit OV02124
fzalcala, 06/09/2017 01:53:59PM, complete, office visit OV04294
lqmadden, 06/09/2017 03:15:09PM, enable, appointment A004546
qylarry, 06/09/2017 06:52:28PM, sort, system alert CA04760
quhundley, 06/09/2017 10:42:47PM, assign, system alert CA00191
lqmadden, 06/09/2017 11:03:54PM, create, ICD-9 Code 130
fzalcala, 06/10/2017 07:55:43AM, sort, appointment A005008
lqmadden, 06/10/2017 09:03:05PM, print, notification NX1293
lqmadden, 06/10/2017 10:00:30PM, schedule, system alert CA02794
dsblythe, 06/11/2017 08:08:06AM, unmerge, office visit OV00787
quhundley, 06/11/2017 09:20:41AM, modify, appointment A005126
qylarry, 06/11/2017 01:12:35PM, complete, appointment A003583
lqmadden, 06/12/2017 12:23:16AM, create, office visit OV02431
dsblythe, 06/12/2017 01:21:54AM, enable, system alert CA04762
dsblythe, 06/12/2017 12:48:24AM, unmerge, office visit OV00787
qylarry, 06/13/2017 04:41:50AM, create, system alert CA01597
quhundley, 06/13/2017 06:57:23AM, complete, ICD-9 Code 905
lqmadden, 06/13/2017 10:08:14AM, update, notification NX0017
lqmadden, 06/13/2017 10:38:58AM, print, system alert CA04407
xcherndon, 06/13/2017 04:44:07PM, complete, message M3214
fzalcala, 06/13/2017 09:40:17PM, complete, appointment A003583
qylarry, 06/14/2017 07:13:51AM, resolve, appointment A000609
qylarry, 06/14/2017 09:08:19AM, query, message M4404
fzalcala, 06/14/2017 12:47:44PM, access, message M1710
xcherndon, 06/14/2017 04:50:52PM, delete, ICD-10 Code 117
quhundley, 06/14/2017 08:19:31PM, print, message M4671
fzalcala, 06/14/2017 10:28:23PM, export, system alert CA04126
xcherndon, 06/14/2017 10:38:57PM, modify, appointment A003833
fzalcala, 06/15/2017 12:21:38AM, assign, ICD-9 Code 790
xcherndon, 06/15/2017 01:01:29AM, disable, notification NX1054
fzalcala, 06/15/2017 02:20:49AM, print, office visit OV02789
lqmadden, 06/15/2017 07:50:21AM, query, notification NX2872
fzalcala, 06/16/2017 03:52:47AM, cancel, notification NX1842
qylarry, 06/16/2017 06:42:41AM, print, message M5397
dsblythe, 06/16/2017 09:07:08AM, delete, notification NX4358
xcherndon, 06/17/2017 05:46:29AM, disable, patient specific instructions A541
xcherndon, 06/17/2017 11:48:14PM, schedule, office visit OV05067
fzalcala, 06/17/2017 12:06:21PM, modify, notification NX2143
quhundley, 06/18/2017 03:48:33AM, unmerge, appointment A000532
qylarry, 06/18/2017 06:06:43AM, update, message M5894
dsblythe, 06/18/2017 01:37:46PM, resolve, appointment A002547
quhundley, 06/18/2017 08:57:14PM, schedule, system alert CA01893
quhundley, 06/18/2017 11:23:44PM, update, notification NX0017
lqmadden, 06/19/2017 01:23:20AM, view, notification NX1396
qylarry, 06/19/2017 05:22:30AM, view, appointment A002502
quhundley, 06/19/2017 12:01:46AM, disable, notification NX1054
dsblythe, 06/19/2017 12:51:09AM, unmerge, system alert CA03572
xcherndon, 06/20/2017 10:07:01PM, cancel, notification NX1231
fzalcala, 06/21/2017 01:39:13AM, merge, notification NX1511
fzalcala, 06/21/2017 03:41:54AM, print, office visit OV00092
xcherndon, 06/21/2017 07:37:32AM, access, system alert CA00245
quhundley, 06/21/2017 12:09:00AM, view, patient specific instructions A663
